"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"892","029","30MonoWAV/30MonoF4.wav","negative","high",2,4,"ASHAMED",1,0,1,4,1,2,1,"fear",2,1,2,4,1,1,3,1,1,1,1,2,NA
"893","029","30MonoWAV/30MonoT4.wav","positive","low",4,16,"ALERT",2,0,2,2,3,4,2,"tender",1,1,1,2,1,3,2,1,1,3,1,2,NA
"894","029","30MonoWAV/30MonoF2.wav","negative","high",2,2,"GUILTY",3,0,3,3,1,1,1,"fear",3,1,4,4,1,1,3,1,1,1,1,4,NA
"895","029","30MonoWAV/30MonoH4.wav","positive","high",1,8,"ANXIOUS",4,0,4,3,4,2,1,"happy",1,1,1,2,1,3,3,1,1,1,1,4,NA
"896","029","30MonoWAV/30MonoT3.wav","positive","low",4,15,"EXCITED",5,0,5,2,3,3,2,"tender",1,1,1,1,1,2,1,1,1,3,1,2,NA
"897","029","30MonoWAV/30MonoS3.wav","negative","low",3,11,"ASHAMED",6,0,6,2,2,4,1,"sad",1,1,1,2,1,1,2,3,1,3,1,2,NA
"898","029","30MonoWAV/30MonoS1.wav","negative","low",3,9,"ANXIOUS",7,0,7,2,1,2,1,"sad",1,1,1,1,1,1,1,2,1,2,1,1,NA
"899","029","30MonoWAV/30MonoF1.wav","negative","high",2,1,"ACTIVE",8,0,8,4,2,2,3,"fear",2,1,2,4,1,1,3,1,1,1,1,3,NA
"900","029","30MonoWAV/30MonoH2.wav","positive","high",1,6,"SCARED",9,0,9,4,4,4,1,"happy",1,1,1,4,1,4,3,1,1,2,1,4,NA
"901","029","30MonoWAV/30MonoF3.wav","negative","high",2,3,"ANXIOUS",10,0,10,2,1,2,3,"fear",3,1,2,3,1,1,2,1,1,1,1,2,NA
"902","029","30MonoWAV/30MonoT1.wav","positive","low",4,13,"SAD",11,0,11,2,4,4,1,"tender",1,1,1,2,1,4,2,1,1,2,1,3,NA
"903","029","30MonoWAV/30MonoS2.wav","negative","low",3,10,"FRUSTRATED",12,0,12,2,1,3,1,"sad",1,1,1,2,1,2,2,3,1,3,1,1,NA
"904","029","30MonoWAV/30MonoH1.wav","positive","high",1,5,"FRUSTRATED",13,0,13,3,3,3,1,"happy",1,1,1,3,1,3,3,1,1,1,1,3,NA
"905","029","30MonoWAV/30MonoH3.wav","positive","high",1,7,"ANGRY",14,0,14,4,4,4,1,"happy",1,1,1,3,1,4,3,1,1,1,1,3,NA
"906","029","30MonoWAV/30MonoT2.wav","positive","low",4,14,"ALERT",15,0,15,3,2,3,2,"tender",1,1,1,2,1,2,2,3,1,3,1,2,NA
"907","029","30MonoWAV/30MonoS3.wav","negative","low",3,11,"FRUSTRATED",0,1,16,2,1,2,1,"sad",1,1,1,2,1,1,1,2,1,2,1,1,NA
"908","029","30MonoWAV/30MonoH1.wav","positive","high",1,5,"ASHAMED",1,1,17,2,2,2,1,"happy",1,1,1,2,1,2,2,1,1,1,1,2,NA
"909","029","30MonoWAV/30MonoS2.wav","negative","low",3,10,"GUILTY",2,1,18,1,1,3,1,"sad",1,1,1,1,1,1,1,2,1,2,1,1,NA
"910","029","30MonoWAV/30MonoF3.wav","negative","high",2,3,"ACTIVE",3,1,19,3,1,2,3,"fear",2,1,2,3,1,1,3,1,1,1,1,3,NA
"911","029","30MonoWAV/30MonoT3.wav","positive","low",4,15,"GUILTY",4,1,20,2,3,3,1,"tender",1,1,1,1,1,3,1,1,1,3,1,1,NA
"912","029","30MonoWAV/30MonoH3.wav","positive","high",1,7,"ACTIVE",5,1,21,4,4,4,4,"happy",1,1,1,4,1,4,4,1,1,2,1,4,NA
"913","029","30MonoWAV/30MonoF4.wav","negative","high",2,4,"ANGRY",6,1,22,3,1,2,1,"fear",2,1,2,3,1,1,2,1,1,1,1,2,NA
